id,skill
1,UCCE
2,Jeet Kune Do
3,HCPCS
4,SAP-SD
5,Xcart
6,CFML
7,PTO
8,Juniper Technologies
9,nCode
10,Brochures
11,Student Affairs
12,Pyrolysis
13,European Affairs
14,KPO
15,IBM Tivoli
16,Switchgear
17,Swimming
18,FX Spot
19,Merchandising
20,MS Axapta
21,Social Media
22,SolidWorks
23,Evangelism
24,SEP IRA
25,Social Media Marketing
26,VCI
27,HP Server Hardware
28,Modeling
29,VMware VTSP
30,Automobile
31,BS7799
32,ESL
33,AHU
34,TPC
35,PMI
36,HSIA
37,Hardware Architecture
38,PPP
39,IFMA
40,VC-1
41,DUI Defense
42,BPO
43,Team Building
44,Pyramix
45,iPhone
46,GCIA
47,BD+C
48,Federal Government
49,XBR
50,MBAL
