id,employee
1,Camido
2,Jetpulse
3,Twimm
4,Flipbug
5,Rhynoodle
6,Tagtune
7,Linktype
8,Gigaclub
9,Youopia
10,Vidoo
11,Ailane
12,Mynte
13,Twitterbeat
14,Trudeo
15,Meembee
16,Jabberstorm
17,Yamia
18,Plajo
19,Mymm
20,Tazzy
21,Vimbo
22,Yambee
23,Tazzy
24,Yabox
25,Linkbuzz
26,Topicware
27,Edgewire
28,Tazzy
29,Jabbercube
30,Topiclounge
31,Twinte
32,Gabvine
33,Skyvu
34,Thoughtbridge
35,Mybuzz
36,Ailane
37,Topiclounge
38,Gevee
39,Talane
40,Dabvine
41,Wordware
42,Twimm
43,Eamia
44,Vimbo
45,Skyba
46,Realfire
47,Edgeify
48,Ntag
49,Youspan
50,Trilith
51,Wikivu
52,Leexo
53,Realcube
54,Dabshots
55,Kwilith
56,Fanoodle
57,Yodoo
58,Twitterworks
59,Innotype
60,Chatterpoint
61,Plajo
62,Chatterbridge
63,Quimba
64,Gigaclub
65,Thoughtsphere
66,Mymm
67,Katz
68,Jabberstorm
69,Oodoo
70,Yozio
